Drawing,Number,Annotation,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020514,4. Palisade fence (including fixings between posts, pales and rails) to be designed by specialist supplier.,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020514,                ,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020514, No bonding required to palisade fence as outside of OCLZ.,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020514, Palisade fence to be Grey.,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020514, Palisade fence arrangement based on a product by F.H. Brundle. Contractor to consult designer if an alternative arrangement is required. Refer to Section 10 Product Information Appendices for product specification.,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020514, Steel palisade fence to be security type SP30 and designed in accordance with BS1722-12:2006. ,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020514, All connections shall be bolted in accordance with BS 1722-12.,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020514,5. Fences shall be accurately set out and erected to provide a smooth alignment in plan and elevation, following the contours of the ground as closely as is practicable.,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020514,6. The line of the fencing shall be cleared of all impending vegetation.,,,,,
Mossley Station - Existing To Be Removed General Arrangement,167037-TGP-24-MVL3-DRG-C-ST-170004,Notes,,,,,
Mossley Station - Existing To Be Removed General Arrangement,167037-TGP-24-MVL3-DRG-C-ST-170004,1. All dimensions in millimetres unless stated otherwise. All levels are in metres above ordnance Survey Datum Newyln. ,,,,,
Mossley Station - Existing To Be Removed General Arrangement,167037-TGP-24-MVL3-DRG-C-ST-170004,2. This drawing is to be read in conjunction with drawing:,,,,,
Mossley Station - Existing To Be Removed General Arrangement,167037-TGP-24-MVL3-DRG-C-ST-170004, 167037-TGP-24-MVL3-DRG-C-ST-170005,,,,,
Mossley Station - Existing To Be Removed General Arrangement,167037-TGP-24-MVL3-DRG-C-ST-170004, 167037-TGP-24-MVL3-DRG-C-ST-170006,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002,\H0.714286x;Notes:,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002,1. All dimensions are in millimetres unless stated otherwise.,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002,2. Do not scale from this drawing. ,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002,3. This drawing is to be read in conjunction with drawings:,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002, 167037-TGP-25-MVL3-DRG-T-LP-170001,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002, 167037-TGP-25-MVL3-DRG-T-LP-170003,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002, 167037-TGP-25-MVL3-DRG-T-LP-170004,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002, 167037-TGP-25-MVL3-DRG-T-LP-170005,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002, 167037-TGP-25-MVL3-DRG-T-LP-170006,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002, 167037-TGP-25-MVL3-DRG-T-LP-170100,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002, 167037-TGP-25-MVL3-DRG-T-LP-170101,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002, 167037-TGP-25-MVL3-DRG-T-LP-170102,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002, 167037-TGP-25-MVL3-DRG-T-LP-170103,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002, 167037-TGP-25-MVL3-DRG-T-LP-170104,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002, 167037-TGP-25-MVL3-DRG-T-LP-170110,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002, 167037-TGP-25-MVL3-DRG-T-LP-170200,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002, 167037-TGP-25-MVL3-DRG-T-LP-170201 ,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002, 167037-TGP-25-MVL3-DRG-T-LP-170202,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002, 167037-TGP-25-MVL3-DRG-T-LP-170300,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002,4. For proposed works to Oldham Road Bridge,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002, 167037-TGP-25-MVL3-DRG-T-LP-162800 series,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002,5. Refer to W3 CDM risk register GRIP4 ,,,,,
Greenfield Station - Existing Statutory Utilities General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170002, 167037-TGP-25-MVL3-RSA-W-CV-173005 for full list of risks. ,,,,,
Form A - MVL3/12A Pipe Bridge - Existing General Arrangement Drawing,167037-TGP-24-MVL3-DRG-C-ST-041250,1.  All dimensions are in millimetres unless shown otherwise. All levels are in metres above Ordnance Survey Datum Newlyn.,,,,,
Form A - MVL3/12A Pipe Bridge - Existing General Arrangement Drawing,167037-TGP-24-MVL3-DRG-C-ST-041250, ,,,,,
Form A - MVL3/12A Pipe Bridge - Existing General Arrangement Drawing,167037-TGP-24-MVL3-DRG-C-ST-041250,"2.  TPEN chainage string is based on FUGRO RILA data captured March 2017 and follows the down main 6"" rail throughout this zone. The datum is the down cess 8 mile post (12874.752m) at Stalybridge taken from ""104536-SUR-Stalybridge combined survey + AFC.dgn""",,,,,
Form A - MVL3/12A Pipe Bridge - Existing General Arrangement Drawing,167037-TGP-24-MVL3-DRG-C-ST-041250,3.  Buried services locations are based on TPEN16 Buried Services Model and are indicative only.,,,,,
Form A - MVL3/12A Pipe Bridge - Existing General Arrangement Drawing,167037-TGP-24-MVL3-DRG-C-ST-041250, ,,,,,
Form A - MVL3/12A Pipe Bridge - Existing General Arrangement Drawing,167037-TGP-24-MVL3-DRG-C-ST-041250,4.  Structure comprises a 250mm Polyethylene clean water pipe sliplined into a 380mm cast iron pipe.,,,,,
Form A - MVL3/9 Spring Bank Lane - Existing General Arrangement Drawing,167037-TGP-22-MVL3-DRG-C-ST-040900,Notes,,,,,
Form A - MVL3/9 Spring Bank Lane - Existing General Arrangement Drawing,167037-TGP-22-MVL3-DRG-C-ST-040900,1. All dimensions are in millimetres unless shown ,,,,,
Form A - MVL3/9 Spring Bank Lane - Existing General Arrangement Drawing,167037-TGP-22-MVL3-DRG-C-ST-040900, otherwise. All levels are in metres above Ordnance Survey ,,,,,
Form A - MVL3/9 Spring Bank Lane - Existing General Arrangement Drawing,167037-TGP-22-MVL3-DRG-C-ST-040900, Datum Newlyn. Do not scale from this drawing. ,,,,,
Form A - MVL3/9 Spring Bank Lane - Existing General Arrangement Drawing,167037-TGP-22-MVL3-DRG-C-ST-040900,2. TPEN chainage string is based on FUGRO RILA data ,,,,,
Form A - MVL3/9 Spring Bank Lane - Existing General Arrangement Drawing,167037-TGP-22-MVL3-DRG-C-ST-040900," captured March 2017 and follows the down main 6"" rail ",,,,,
Form A - MVL3/9 Spring Bank Lane - Existing General Arrangement Drawing,167037-TGP-22-MVL3-DRG-C-ST-040900, throughout this zone. The datum is the down cess 8 mile ,,,,,
Form A - MVL3/9 Spring Bank Lane - Existing General Arrangement Drawing,167037-TGP-22-MVL3-DRG-C-ST-040900," post (12874.752m) at Stalybridge taken from ""104536-",,,,,
Form A - MVL3/9 Spring Bank Lane - Existing General Arrangement Drawing,167037-TGP-22-MVL3-DRG-C-ST-040900," SUR-Stalybridge combined survey + AFC.dgn""",,,,,
Form A - MVL3/9 Spring Bank Lane - Existing General Arrangement Drawing,167037-TGP-22-MVL3-DRG-C-ST-040900,3. Buried services locations are based on TPEN16 Buried ,,,,,
Form A - MVL3/9 Spring Bank Lane - Existing General Arrangement Drawing,167037-TGP-22-MVL3-DRG-C-ST-040900, Services Model and are indicative only.,,,,,
Mossley Station - Proposed Platform General Arrangement Sheet 1 of 2,167037-TGP-24-MVL3-DRG-C-ST-170200,Notes,,,,,
Mossley Station - Proposed Platform General Arrangement Sheet 1 of 2,167037-TGP-24-MVL3-DRG-C-ST-170200,1. All dimensions in millimetres unless stated otherwise. All levels are in metres above ordnance Survey Datum Newyln. ,,,,,
Form A - MVL3/8 Springbank Lane (Footbridge) - Existing General Arrangement Drawing,167037-TGP-22-MVL3-DRG-C-ST-040800,Notes,,,,,
Form A - MVL3/8 Springbank Lane (Footbridge) - Existing General Arrangement Drawing,167037-TGP-22-MVL3-DRG-C-ST-040800,1.  All dimensions are in millimetres unless shown otherwise. All levels are in metres above Ordnance Survey Datum Newlyn. ,,,,,
Form A - MVL3/8 Springbank Lane (Footbridge) - Existing General Arrangement Drawing,167037-TGP-22-MVL3-DRG-C-ST-040800,"2.  TPEN chainage string is based on FUGRO RILA data captured March 2017 and follows the down main 6"" rail throughout this zone. The datum is the down cess 8 mile post (12874.752m) at Stalybridge taken from ""104536-SUR-Stalybridge combined survey + AFC.dgn"".",,,,,
Form A - MVL3/8 Springbank Lane (Footbridge) - Existing General Arrangement Drawing,167037-TGP-22-MVL3-DRG-C-ST-040800,"3.  Buried services locations are based on TPEN16 Buried Services Model and are indicative only. Buried Services Information supplied is to PAS LEVEL D. Subject to verification it MUST be considered as ""for guidance ",,,,,
Form A - MVL3/8 Springbank Lane (Footbridge) - Existing General Arrangement Drawing,167037-TGP-22-MVL3-DRG-C-ST-040800," purposes only"".",,,,,
Form A - MVL3/8 Springbank Lane (Footbridge) - Existing General Arrangement Drawing,167037-TGP-22-MVL3-DRG-C-ST-040800,4.  Coring data for foundations contained within document ,,,,,
Form A - MVL3/8 Springbank Lane (Footbridge) - Existing General Arrangement Drawing,167037-TGP-22-MVL3-DRG-C-ST-040800,  ,,,,,
Form A - MVL3/8 Springbank Lane (Footbridge) - Existing General Arrangement Drawing,167037-TGP-22-MVL3-DRG-C-ST-040800,\C5;151669-781-05-MVL3-REP-W-ST-264002,,,,,
Form A - MVL3/39 Station Road - Existing General Arrangement,167037-TGP-27-MVL3-DRG-C-ST-043900,Notes,,,,,
Form A - MVL3/39 Station Road - Existing General Arrangement,167037-TGP-27-MVL3-DRG-C-ST-043900,1.  All dimensions are in millimetres unless shown ,,,,,
Form A - MVL3/39 Station Road - Existing General Arrangement,167037-TGP-27-MVL3-DRG-C-ST-043900, otherwise. All levels are in metres above Ordnance Survey ,,,,,
Form A - MVL3/39 Station Road - Existing General Arrangement,167037-TGP-27-MVL3-DRG-C-ST-043900, Datum Newlyn. Do not scale from this drawing.,,,,,
Form A - MVL3/39 Station Road - Existing General Arrangement,167037-TGP-27-MVL3-DRG-C-ST-043900, ,,,,,
Form A - MVL3/39 Station Road - Existing General Arrangement,167037-TGP-27-MVL3-DRG-C-ST-043900,2.  TPEN chainage string is based on FUGRO RILA data ,,,,,
Form A - MVL3/39 Station Road - Existing General Arrangement,167037-TGP-27-MVL3-DRG-C-ST-043900," captured March 2017 and follows the down main 6"" rail ",,,,,
Form A - MVL3/39 Station Road - Existing General Arrangement,167037-TGP-27-MVL3-DRG-C-ST-043900, throughout this zone. The datum is the down cess 8 mile ,,,,,
Form A - MVL3/39 Station Road - Existing General Arrangement,167037-TGP-27-MVL3-DRG-C-ST-043900," post (12874.752m) at Stalybridge taken from ""104536-",,,,,
Form A - MVL3/39 Station Road - Existing General Arrangement,167037-TGP-27-MVL3-DRG-C-ST-043900," SUR-Stalybridge combined survey + AFC.dgn""",,,,,
Form A - MVL3/39 Station Road - Existing General Arrangement,167037-TGP-27-MVL3-DRG-C-ST-043900,3.  Buried services locations are based on TPEN16 Buried ,,,,,
Form A - MVL3/39 Station Road - Existing General Arrangement,167037-TGP-27-MVL3-DRG-C-ST-043900, Services Model and are indicative only.,,,,,
Form A - MVL3/36 Ward Lane - Existing General Arrangement,167037-TGP-27-MVL3-DRG-C-ST-043600,Notes,,,,,
Form A - MVL3/36 Ward Lane - Existing General Arrangement,167037-TGP-27-MVL3-DRG-C-ST-043600,1. All dimensions in millimetres unless shown otherwise. All levels are in metres above Ordnance Survey Datum Newlyn. Do not scale from this drawing.,,,,,
Form A - MVL3/36 Ward Lane - Existing General Arrangement,167037-TGP-27-MVL3-DRG-C-ST-043600,"2. TPEN chainage string is based on FUGRO RILA data captured March 2017 and follows the down side main 6"" rail throughout this zone. The datum is the down cess 8 mile post (12874.752m) at Stalybridge taken from"" 104536-SUR-Stalybridge combined survey + AFC.dgn""",,,,,
Form A - MVL3/36 Ward Lane - Existing General Arrangement,167037-TGP-27-MVL3-DRG-C-ST-043600,3. Buried services locations are based on TPEN16 Buried Services Model and are indicative only,,,,,
Form A - MVL3/36 Ward Lane - Existing General Arrangement,167037-TGP-27-MVL3-DRG-C-ST-043600,4. Note that the DNO and points heating installation is anticipated to be constructed circa 2025 and will be existing infrastructure at the time of the bridge reconstruction works shown here. ,,,,,
Form A - MVL3/48 Grange Street - Existing GA Drawing,167037-TGP-54-MVL3-DRG-C-ST-044800,Notes,,,,,
Form A - MVL3/48 Grange Street - Existing GA Drawing,167037-TGP-54-MVL3-DRG-C-ST-044800,1. All dimensions in millimetres unless stated otherwise. All levels are in metres above ordnance Survey Datum Newyln. ,,,,,
Form A - MVL3/48 Grange Street - Existing GA Drawing,167037-TGP-54-MVL3-DRG-C-ST-044800,2. Dimensions of bridge deck obtained from topographical survey information and archive drawing,,,,,
Form A - MVL3/12 Abney Footbridge - Existing General Arrangement Drawing,167037-TGP-24-MVL3-DRG-C-ST-041200,Notes,,,,,
Form A - MVL3/12 Abney Footbridge - Existing General Arrangement Drawing,167037-TGP-24-MVL3-DRG-C-ST-041200,1.  All dimensions are in millimetres unless shown otherwise. All levels are in metres above Ordnance Survey Datum Newlyn. Do not scale from this drawing. ,,,,,
Form A - MVL3/12 Abney Footbridge - Existing General Arrangement Drawing,167037-TGP-24-MVL3-DRG-C-ST-041200,"2.  TPEN chainage string is based on FUGRO RILA data captured March 2017 and follows the down main 6"" rail throughout this zone. The datum is the down cess 8 milepost (12874.752m) at Stalybridge taken from ""104536-SUR-Stalybridge combined survey + AFC.dgn""",,,,,
Form A - MVL3/12 Abney Footbridge - Existing General Arrangement Drawing,167037-TGP-24-MVL3-DRG-C-ST-041200,3.  Buried services locations are based on TPEN16 Buried Services Model and are indicative only.,,,,,
Form A - MVL3/12 Abney Footbridge - Existing General Arrangement Drawing,167037-TGP-24-MVL3-DRG-C-ST-041200,4. Coring data for foundations contained within document ,,,,,
Form A - MVL3/12 Abney Footbridge - Existing General Arrangement Drawing,167037-TGP-24-MVL3-DRG-C-ST-041200,\C5;151667-TSA-W2B-MVL3-DM3-X-MF-960531,,,,,
Form A - MVL3/12 Abney Footbridge - Existing General Arrangement Drawing,167037-TGP-24-MVL3-DRG-C-ST-041200,MVL3_12-CS-02 ,,,,,
Form A - MVL3/17 Roughtown Road - Existing General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041700,Notes,,,,,
Form A - MVL3/17 Roughtown Road - Existing General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041700,1.  All dimensions are in millimetres unless shown otherwise. All levels are in metres above Ordnance Survey Datum Newlyn. ,,,,,
Form A - MVL3/17 Roughtown Road - Existing General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041700,"2.  TPEN chainage string is based on FUGRO RILA data captured March 2017 and follows the down main 6"" rail throughout this zone. The datum is the down cess 8 mile post (12874.752m) at Stalybridge taken from ""104536-SUR-Stalybridge combined survey + AFC.dgn"".",,,,,
Form A - MVL3/17 Roughtown Road - Existing General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041700,"3.  Buried services locations are based on TPEN16 Buried Services Model and are indicative only. Buried Services Information supplied is to PAS LEVEL D. Subject to verification it MUST be considered as ""for guidance ",,,,,
Form A - MVL3/17 Roughtown Road - Existing General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041700," purposes only"". ",,,,,
Form A - MVL3/17 Roughtown Road - Existing General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041700,4.  5 degree lean present on high mileage parapet. Idealised parapet shown for clarity.,,,,,
Form A - MVL3/17 Roughtown Road - Existing General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041700,5. Coring data for foundations contained within document 151667-TSA-,,,,,
Form A - MVL3/17 Roughtown Road - Existing General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041700,\C5;151667-TSA-W2B-MVL3-DM3-X-MF-960531,,,,,
Form A - MVL3/17 Roughtown Road - Existing General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041700,MVL3_12-CS-02 ,,,,,
Form A - MVL3/49 Plains Lane - Existing GA Drawing,167037-TGP-54-MVL3-DRG-C-ST-044900,Notes,,,,,
Form A - MVL3/49 Plains Lane - Existing GA Drawing,167037-TGP-54-MVL3-DRG-C-ST-044900,1. All dimensions in millimetres unless stated otherwise. All levels are in metres above ordnance Survey Datum Newyln. ,,,,,
Form A - MVL3/49 Plains Lane - Existing GA Drawing,167037-TGP-54-MVL3-DRG-C-ST-044900,2. Dimensions of bridge deck obtained from topographical survey information and archive drawing,,,,,
Form A - MVL3/35 Ravenstone Drive/Ward Footbridge - Existing General Arrangement Drawing,167037-TGP-27-MVL3-DRG-C-ST-043500,Notes,,,,,
Form A - MVL3/35 Ravenstone Drive/Ward Footbridge - Existing General Arrangement Drawing,167037-TGP-27-MVL3-DRG-C-ST-043500,1.  All dimensions are in millimetres unless shown otherwise. All levels are in metres above Ordnance Survey Datum Newlyn. Do not scale from this drawing. ,,,,,
Form A - MVL3/35 Ravenstone Drive/Ward Footbridge - Existing General Arrangement Drawing,167037-TGP-27-MVL3-DRG-C-ST-043500,"2.  TPEN chainage string is based on FUGRO RILA data captured March 2017 and follows the down main 6"" rail throughout this zone. The datum is the down cess 8 mile post (12874.752m) at Stalybridge taken from ""104536-SUR-Stalybridge combined survey + AFC.dgn"".",,,,,
Form A - MVL3/35 Ravenstone Drive/Ward Footbridge - Existing General Arrangement Drawing,167037-TGP-27-MVL3-DRG-C-ST-043500,3.  Buried services locations are based on TPEN16 Buried Services Model and are indicative only.,,,,,
Form A - MVL3/35 Ravenstone Drive/Ward Footbridge - Existing General Arrangement Drawing,167037-TGP-27-MVL3-DRG-C-ST-043500,4. Data for foundations derived from archive drawings,,,,,
Form A - MVL3/35 Ravenstone Drive/Ward Footbridge - Existing General Arrangement Drawing,167037-TGP-27-MVL3-DRG-C-ST-043500,\C5;Foundation plan and details.jpg,,,,,
Form A - MVL3/16 New Earth Footbridge - Proposed General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041601,Notes,,,,,
Form A - MVL3/16 New Earth Footbridge - Proposed General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041601,1.  All dimensions are in millimetres unless shown otherwise. All levels are in metres above Ordnance Survey Datum Newlyn. Do not scale from this drawing. ,,,,,
Form A - MVL3/16 New Earth Footbridge - Proposed General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041601,"2.  TPEN chainage string is based on FUGRO RILA data captured March 2017 and follows the down main 6"" rail throughout this zone. The datum is the down cess 8 milepost (12874.752m) at Stalybridge taken from ""104536-SUR-Stalybridge combined survey + AFC.dgn""",,,,,
Form A - MVL3/16 New Earth Footbridge - Proposed General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041601,3.  Refer to the following documents for CDM/Environmental and CSM hazards and mitigations relating to the works proposed in this submission: CDM Hazard Record: 167037-TGP-2BC-MVL3-REG-W-ST-040001 CSM Hazard Record: 167037-NWR-00-TRU-UAP-W-DM-000088”,,,,,
Form A - MVL3/16 New Earth Footbridge - Proposed General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041601,4.  This drawing shall be read in conjunction with following drawing(s) and Form A Document: 167037-TGP-W2B-MVL3-FOA-W-ST-040001,,,,,
Form A - MVL3/16 New Earth Footbridge - Proposed General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041601,              167037-TGP-25-MVL3-DRG-C-ST-041600,,,,,
Form A - MVL3/16 New Earth Footbridge - Proposed General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041601,5.  For construction sequence,,,,,
Form A - MVL3/16 New Earth Footbridge - Proposed General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041601,6.  Buried services locations are based on TPEN16 Buried Services Model and are indicative only. Services to be temporarily supported during excavations (if required) and works to be in accordance with NR/L2/AMG/1030 (Working Safely In the Vicinity of Buried Services),,,,,
Form A - MVL3/16 New Earth Footbridge - Proposed General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041601,7. Bridge meets protection by obstacle utilising taut string line method in accordance with BS EN 50122-1:2022. Proposed works to mitigate security and electrification risks,,,,,
Form A - MVL3/16 New Earth Footbridge - Proposed General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041601,8.  Steel to be S355J2 in accordance with BS EN 10025. All steelwork to be hot-dip galvanised to thickness of 85µm in accordance EN ISO 1461 and painted with N1 paint system in accordance with NR/L3/CIV/040. Colour to match existing paint colour,,,,,
Form A - MVL3/16 New Earth Footbridge - Proposed General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041601,9. Panels are to be off-white to match existing,,,,,
Form A - MVL3/16 New Earth Footbridge - Proposed General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041601,10. 2 No. electrocution hazard signs to be installed on the inside face of each parapet in line with the cess. The signs are to be in accordance with NR/L2/ELP/21131 and RTE 6001B. Signs to be attached to the existing parapet using 4No. 50mm stainless steel anti-tamper screws,,,,,
Form A - MVL3/16 New Earth Footbridge - Proposed General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041601,11. Bridge to be bonded in accordance with NR/L2/ELP/21085. Bonding Lug to be installed on stiffeners at either side of bridge. Bridge to be confirmed as electrically continuous by E&P team. Faying surfaces to be provided for extension TCBs to ensure electrically continity between top flange and extension.,,,,,
Form A - MVL3/16 New Earth Footbridge - Proposed General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041601,Notes,,,,,
Form A - MVL3/16 New Earth Footbridge - Proposed General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041601,12. This drawing references the following external spoke model: Track: 151667-TSA-W2B-MVL3-DM3-R-TR-000017 Revision P01 (ES4 alignment to be referenced when available.,,,,,
Form A - MVL3/16 New Earth Footbridge - Proposed General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041601,13.Coring data for foundations contained within document  ,,,,,
Form A - MVL3/16 New Earth Footbridge - Proposed General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041601,14. OLE to be free-running underneath the structure.,,,,,
Form A - MVL3/16 New Earth Footbridge - Proposed General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041601,\C5;151669-781-05-MVL3-REP-W-ST-267002,,,,,
Form A - MVL3/16 New Earth Footbridge - Proposed General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041601,Inclined Core IC004 ,,,,,
Mossley Station - Existing Site Location Plan,167037-TGP-24-MVL3-DRG-C-ST-170001,Notes,,,,,
Mossley Station - Existing Site Location Plan,167037-TGP-24-MVL3-DRG-C-ST-170001,1. All dimensions in millimetres unless stated otherwise. All levels are in metres above ordnance Survey Datum Newyln. ,,,,,
Form A - MVL3/16 New Earth Footbridge - Existing General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041600,Notes,,,,,
Form A - MVL3/16 New Earth Footbridge - Existing General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041600,1.  All dimensions are in millimetres unless shown otherwise. All levels are in metres above Ordnance Survey Datum Newlyn. Do not scale from this drawing. ,,,,,
Form A - MVL3/16 New Earth Footbridge - Existing General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041600,"2.  TPEN chainage string is based on FUGRO RILA data captured March 2017 and follows the down main 6"" rail throughout this zone. The datum is the down cess 8 milepost (12874.752m) at Stalybridge taken from ""104536-SUR-Stalybridge combined survey + AFC.dgn""",,,,,
Form A - MVL3/16 New Earth Footbridge - Existing General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041600,3.  Buried services locations are based on TPEN16 Buried Services Model and are indicative only.,,,,,
Form A - MVL3/16 New Earth Footbridge - Existing General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041600,4. Coring data for foundations contained within document,,,,,
Form A - MVL3/16 New Earth Footbridge - Existing General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041600,\C5;151669-781-05-MVL3-REP-W-ST-267002,,,,,
Form A - MVL3/16 New Earth Footbridge - Existing General Arrangement Drawing,167037-TGP-25-MVL3-DRG-C-ST-041600,IC003 and IC004 ,,,,,
Form A - MVL3/39B Bywash - Existing General Arrangement,167037-TGP-27-MVL3-DRG-C-ST-043950,Notes,,,,,
Form A - MVL3/39B Bywash - Existing General Arrangement,167037-TGP-27-MVL3-DRG-C-ST-043950,1. All dimensions in millimetres unless stated otherwise. All levels are in metres above Ordnance Survey Datum Newyln. Do not scale from this drawing.  ,,,,,
Form A - MVL3/39B Bywash - Existing General Arrangement,167037-TGP-27-MVL3-DRG-C-ST-043950,"2. TPEN chainage string is based on FUGRO RILA data captured March 2017 and follows the down main 6"" rail throughout this zone. The datum is the down cess 8 mile post (12874.752m) at Stalybridge taken from ""104536-SUR-Stalybridge combined survey + AFC.dgn""",,,,,
Form A - MVL3/39B Bywash - Existing General Arrangement,167037-TGP-27-MVL3-DRG-C-ST-043950,3. Buried services locations are bason on TPEN16 Buried Services Model and are indicative only.,,,,,
Greenfield Station - Proposed Footbridge General Arrangement,167037-TGP-25-MVL3-DRG-C-ST-170100,\H0.714286x;Notes:,,,,,
